Rank,Name,Country,Pts,Singles Record (Career),Winning Percentage,Career Earnings,Link to Wikipedia
48,Hyung-Taik Lee ,South Korea,720,156-156,50.00%,$2257901,http://en.wikipedia.org/wiki/Hyung-Taik_Lee 
50,Arnaud Clement ,France ,690,275-263,51.12%,$5792066,http://en.wikipedia.org/wiki/Arnaud_Clement 
51,Kristof Vliegen ,Belgium ,675,60-62,49.18%,$1039416,http://en.wikipedia.org/wiki/Kristof_Vliegen 
51,Juan Monaco ,Argentina ,675,118-93,55.92%,$1880574,http://en.wikipedia.org/wiki/Juan_Monaco 
53,Filippo Volandri ,Italy ,672,138-131,51.30%,$2308921,http://en.wikipedia.org/wiki/Filippo_Volandri 
54,Max Mirnyi ,Belarus,670,237-233,50.43%,$7937832,http://en.wikipedia.org/wiki/Max_Mirnyi 
55,Nicolas Massu ,Chile ,665,239-207,53.59%,$3887040,http://en.wikipedia.org/wiki/Nicolas_Massu 
56,Paul-Henri Mathieu ,France ,655,163-147,52.58%,$2756072,http://en.wikipedia.org/wiki/Paul-Henri_Mathieu 
56,Fabrice Santoro ,France ,655,451-418,51.90%,$9485215,http://en.wikipedia.org/wiki/Fabrice_Santoro 
58,Sebastien Grosjean ,France ,620,336-227,59.68%,$7880096,http://en.wikipedia.org/wiki/Sebastien_Grosjean 
59,Philipp Kohlschreiber ,Germany ,615,98-102,49.00%,$1983992,http://en.wikipedia.org/wiki/Philipp_Kohlschreiber 
60,Ruben Ramirez Hidalgo ,Spain ,610,52-78,40.00%,$1137488,http://en.wikipedia.org/wiki/Ruben_Ramirez_Hidalgo 
61,Juan Martin del Potro ,Argentina ,601,52-45,53.61%,$970039,http://en.wikipedia.org/wiki/Juan_Martin del Potro 
62,Martin Vassallo Arguello ,Italy ,597,29-46,38.67%,$834130,http://en.wikipedia.org/wiki/Martin_Vassallo_Arguello 
63,Nicolas Lapentti ,Ecuador ,576,303-269,52.97%,$5847288,http://en.wikipedia.org/wiki/Nicolas_Lapentti 
64,Guillermo Garcia-Lopez ,Spain ,569,67-90,42.68%,$1264582,http://en.wikipedia.org/wiki/Guillermo_Garcia-Lopez 
66,Evgeny Korolev ,Russia ,555,40-43,48.19%,$605706,http://en.wikipedia.org/wiki/Evgeny_Korolev 
67,Sam Querrey ,USA ,552,42-43,49.41%,$765802,http://en.wikipedia.org/wiki/Sam_Querrey 
70,Amer Delic ,USA ,543,18-43,29.51%,$709484,http://en.wikipedia.org/wiki/Amer_Delic 
68,Michael Russell ,USA ,548,15-43,25.86%,$584254,"http://en.wikipedia.org/wiki/Michael_Russell_%28tennis%29"
69,Stefan Koubek ,Austria,546,200-226,46.95%,$2914805,http://en.wikipedia.org/wiki/Stefan_Koubek 
71,Feliciano Lopez ,Spain ,541,178-179,49.86%,$3786306,http://en.wikipedia.org/wiki/Feliciano_Lopez 
72,Teimuraz Gabashvili ,Russia ,540,23-50,31.51%,$677702,http://en.wikipedia.org/wiki/Teimuraz_Gabashvili 
73,Thomas Johansson ,Sweden,534,352-288,55.00%,$7051510,http://en.wikipedia.org/wiki/Thomas_Johansson 
74,Luis Horna ,Peru,525,137-137,50.00%,$2454558,http://en.wikipedia.org/wiki/Luis_Horna 
75,Michael Llodra ,France ,524,92-119,43.60%,$4085699,http://en.wikipedia.org/wiki/Michael_Llodra 
76,Jan Hernych ,Czech Republic ,518,53-78,40.46%,$1266582,http://en.wikipedia.org/wiki/Jan_Hernych 
77,Vincent Spadea ,USA ,515,307-344,47.16%,$4838072,http://en.wikipedia.org/wiki/Vincent_Spadea 
78,Daniele Bracciali ,Italy ,500,32-47,40.51%,$914927,http://en.wikipedia.org/wiki/Daniele_Bracciali 
79,Kristian Pless ,Denmark ,499,55-82,40.15%,$998028,http://en.wikipedia.org/wiki/Kristian_Pless 
80,Robert Kendrick ,USA ,498,15-28,34.88%,$537921,http://en.wikipedia.org/wiki/Robert_Kendrick 
81,Diego Hartfield ,Argentina ,491,18-28,39.13%,$506586,http://en.wikipedia.org/wiki/Diego_Hartfield 
82,Danai Udomchoke ,Thailand ,490,38-51,42.70%,$690475,http://en.wikipedia.org/wiki/Danai_Udomchoke 
82,Sergio Roitman ,Argentina ,490,23-47,32.86%,$932631,http://en.wikipedia.org/wiki/Sergio_Roitman 
84,Albert Montanes ,Spain ,488,110-142,43.65%,$2091400,http://en.wikipedia.org/wiki/Albert_Montanes 
85,Jan Hajek ,Czech Republic ,487,,,,"http://en.wikipedia.org/wiki/Jan_H%C3%A1jek_%28tennis%29"
86,Paradorn Srichaphan ,Thailand ,485,239-193,55.32%,$3458330,http://en.wikipedia.org/wiki/Paradorn_Srichaphan 
87,Oscar Hernandez ,Spain ,476,41-77,34.75%,$1149320,"http://en.wikipedia.org/wiki/%C3%93scar_Hern%C3%A1ndez"
87,Ernests Gulbis ,Latvia,476,28-31,47.46%,$719939,http://en.wikipedia.org/wiki/Ernests_Gulbis 
89,Potito Starace ,Italy ,475,79-90,46.75%,$1625180,http://en.wikipedia.org/wiki/Potito_Starace 
90,Igor Kunitsyn ,Russia ,471,38-57,40.00%,$1161141,http://en.wikipedia.org/wiki/Igor_Kunitsyn 
91,Andreas Seppi ,Italy ,466,85-100,45.95%,$1523090,http://en.wikipedia.org/wiki/Andreas_Seppi 
92,Janko Tipsarevic ,Serbia,464,63-75,45.65%,$1199008,http://en.wikipedia.org/wiki/Janko_Tipsarevic 
96,Carlos Moya ,Argentina ,442,19-46,29.23%,$2723758,http://en.wikipedia.org/wiki/Carlos_Berlocq 
98,Fernando Vicente ,Spain ,441,157-211,42.66%,$2808495,http://en.wikipedia.org/wiki/Fernando_Vicente 
93,Alexander Peya ,Austria,452,18-40,31.03%,$874822,http://en.wikipedia.org/wiki/Alexander_Peya 
93,Werner Eschauer ,Austria,452,15-35,30.00%,$648282,http://en.wikipedia.org/wiki/Werner_Eschauer 
95,Paul Goldstein ,USA ,449,85-115,42.50%,$1619456,http://en.wikipedia.org/wiki/Paul_Goldstein 
96,Yen-Hsun Lu ,Taipei ,442,27-45,37.50%,$648617,http://en.wikipedia.org/wiki/Yen-Hsun_Lu 
98,Alessio Di Mauro ,Italy ,441,,,,http://en.wikipedia.org/wiki/Alessio_Di Mauro 
100,Chris Guccione ,Australia ,439,28-34,45.16%,$557297,http://en.wikipedia.org/wiki/Chris_Guccione 
